UTC,Open,High,Low,Close,Volume
16.12.2025 00:00:00.000 UTC,120.208,120.215,120.181,120.19,240.6
16.12.2025 00:01:00.000 UTC,120.192,120.194,120.148,120.149,190.95
16.12.2025 00:02:00.000 UTC,120.149,120.161,120.125,120.13,315.15
16.12.2025 00:03:00.000 UTC,120.13,120.148,120.118,120.136,186
16.12.2025 00:04:00.000 UTC,120.135,120.142,120.108,120.113,245.4
16.12.2025 00:05:00.000 UTC,120.112,120.122,120.101,120.122,77.7
16.12.2025 00:06:00.000 UTC,120.12,120.148,120.119,120.143,59.1
16.12.2025 00:07:00.000 UTC,120.145,120.145,120.09,120.102,185.55
16.12.2025 00:08:00.000 UTC,120.105,120.105,120.058,120.059,369.3
16.12.2025 00:09:00.000 UTC,120.06,120.077,120.021,120.027,154.5
16.12.2025 00:10:00.000 UTC,120.024,120.046,120.02,120.024,131.55
16.12.2025 00:11:00.000 UTC,120.025,120.043,120.017,120.021,123.9
16.12.2025 00:12:00.000 UTC,120.021,120.034,120.008,120.019,106.2
16.12.2025 00:13:00.000 UTC,120.018,120.048,120.011,120.033,70.95
16.12.2025 00:14:00.000 UTC,120.034,120.054,120.031,120.047,68.1
16.12.2025 00:15:00.000 UTC,120.045,120.058,120.033,120.034,85.5
16.12.2025 00:16:00.000 UTC,120.034,120.064,120.026,120.059,116.4
16.12.2025 00:17:00.000 UTC,120.06,120.086,120.047,120.085,84
16.12.2025 00:18:00.000 UTC,120.083,120.094,120.075,120.078,63.75
16.12.2025 00:19:00.000 UTC,120.08,120.085,120.065,120.068,237.6
16.12.2025 00:20:00.000 UTC,120.067,120.104,120.054,120.104,89.55
16.12.2025 00:21:00.000 UTC,120.101,120.109,120.083,120.109,96.9
16.12.2025 00:22:00.000 UTC,120.106,120.108,120.084,120.087,97.5
16.12.2025 00:23:00.000 UTC,120.088,120.096,120.083,120.086,47.1
16.12.2025 00:24:00.000 UTC,120.084,120.088,120.071,120.074,70.95
16.12.2025 00:25:00.000 UTC,120.075,120.131,120.075,120.107,159.75
16.12.2025 00:26:00.000 UTC,120.108,120.13,120.099,120.117,121.8
16.12.2025 00:27:00.000 UTC,120.117,120.127,120.114,120.125,147
16.12.2025 00:28:00.000 UTC,120.122,120.122,120.112,120.118,635.1
16.12.2025 00:29:00.000 UTC,120.117,120.133,120.115,120.131,430.5
16.12.2025 00:30:00.000 UTC,120.132,120.135,120.118,120.133,501.15
16.12.2025 00:31:00.000 UTC,120.134,120.155,120.133,120.155,48.9
16.12.2025 00:32:00.000 UTC,120.155,120.157,120.138,120.155,60.45
16.12.2025 00:33:00.000 UTC,120.155,120.157,120.137,120.147,52.05
16.12.2025 00:34:00.000 UTC,120.148,120.153,120.134,120.143,80.1
16.12.2025 00:35:00.000 UTC,120.144,120.144,120.124,120.135,81.45
16.12.2025 00:36:00.000 UTC,120.133,120.134,120.113,120.113,185.25
16.12.2025 00:37:00.000 UTC,120.112,120.126,120.111,120.125,42.6
16.12.2025 00:38:00.000 UTC,120.127,120.143,120.123,120.143,75
16.12.2025 00:39:00.000 UTC,120.141,120.151,120.14,120.151,45
16.12.2025 00:40:00.000 UTC,120.155,120.165,120.136,120.163,113.85
16.12.2025 00:41:00.000 UTC,120.161,120.175,120.158,120.169,65.4
16.12.2025 00:42:00.000 UTC,120.168,120.179,120.163,120.177,42
16.12.2025 00:43:00.000 UTC,120.176,120.19,120.174,120.187,33
16.12.2025 00:44:00.000 UTC,120.186,120.188,120.169,120.171,28.8
16.12.2025 00:45:00.000 UTC,120.17,120.187,120.17,120.185,51.6
16.12.2025 00:46:00.000 UTC,120.185,120.185,120.17,120.171,49.8
16.12.2025 00:47:00.000 UTC,120.171,120.181,120.169,120.175,27.3
16.12.2025 00:48:00.000 UTC,120.173,120.179,120.141,120.142,66.45
16.12.2025 00:49:00.000 UTC,120.142,120.145,120.135,120.138,34.8
16.12.2025 00:50:00.000 UTC,120.14,120.177,120.136,120.172,103.35
16.12.2025 00:51:00.000 UTC,120.172,120.201,120.161,120.201,81
16.12.2025 00:52:00.000 UTC,120.199,120.204,120.181,120.187,93
16.12.2025 00:53:00.000 UTC,120.187,120.219,120.18,120.203,106.8
16.12.2025 00:54:00.000 UTC,120.202,120.216,120.191,120.2,355.8
16.12.2025 00:55:00.000 UTC,120.201,120.201,120.159,120.169,237.9
16.12.2025 00:56:00.000 UTC,120.168,120.198,120.167,120.197,9
16.12.2025 00:57:00.000 UTC,120.197,120.201,120.186,120.19,65.1
16.12.2025 00:58:00.000 UTC,120.19,120.206,120.183,120.184,145.8
16.12.2025 00:59:00.000 UTC,120.183,120.186,120.158,120.164,152.55
16.12.2025 01:00:00.000 UTC,120.163,120.17,120.132,120.143,177.15
16.12.2025 01:01:00.000 UTC,120.142,120.146,120.128,120.145,127.95
16.12.2025 01:02:00.000 UTC,120.146,120.154,120.119,120.121,216
16.12.2025 01:03:00.000 UTC,120.12,120.14,120.098,120.136,230.55
16.12.2025 01:04:00.000 UTC,120.135,120.138,120.124,120.134,112.95
16.12.2025 01:05:00.000 UTC,120.133,120.152,120.126,120.152,368.4
16.12.2025 01:06:00.000 UTC,120.153,120.162,120.136,120.146,177.45
16.12.2025 01:07:00.000 UTC,120.146,120.165,120.146,120.165,162.3
16.12.2025 01:08:00.000 UTC,120.163,120.182,120.155,120.172,157.5
16.12.2025 01:09:00.000 UTC,120.171,120.203,120.166,120.193,164.25
16.12.2025 01:10:00.000 UTC,120.195,120.204,120.195,120.202,63.75
16.12.2025 01:11:00.000 UTC,120.201,120.225,120.2,120.219,40.2
16.12.2025 01:12:00.000 UTC,120.22,120.224,120.202,120.212,65.25
16.12.2025 01:13:00.000 UTC,120.213,120.213,120.192,120.195,91.65
16.12.2025 01:14:00.000 UTC,120.194,120.212,120.19,120.207,79.95
16.12.2025 01:15:00.000 UTC,120.207,120.214,120.192,120.214,156.9
16.12.2025 01:16:00.000 UTC,120.213,120.22,120.201,120.202,155.55
16.12.2025 01:17:00.000 UTC,120.204,120.225,120.198,120.218,201.75
16.12.2025 01:18:00.000 UTC,120.218,120.231,120.21,120.212,150.6
16.12.2025 01:19:00.000 UTC,120.213,120.222,120.207,120.221,253.2
16.12.2025 01:20:00.000 UTC,120.22,120.225,120.207,120.217,226.2
16.12.2025 01:21:00.000 UTC,120.219,120.221,120.209,120.213,129.75
16.12.2025 01:22:00.000 UTC,120.215,120.23,120.209,120.217,174.9
16.12.2025 01:23:00.000 UTC,120.216,120.217,120.204,120.207,89.4
16.12.2025 01:24:00.000 UTC,120.206,120.22,120.204,120.211,37.65
16.12.2025 01:25:00.000 UTC,120.208,120.225,120.199,120.223,133.05
16.12.2025 01:26:00.000 UTC,120.22,120.244,120.219,120.239,148.65
16.12.2025 01:27:00.000 UTC,120.24,120.242,120.219,120.219,106.35
16.12.2025 01:28:00.000 UTC,120.22,120.234,120.214,120.23,109.05
16.12.2025 01:29:00.000 UTC,120.229,120.246,120.229,120.243,47.4
16.12.2025 01:30:00.000 UTC,120.244,120.245,120.215,120.216,122.55
16.12.2025 01:31:00.000 UTC,120.216,120.221,120.21,120.217,144.45
16.12.2025 01:32:00.000 UTC,120.218,120.241,120.216,120.225,166.35
16.12.2025 01:33:00.000 UTC,120.226,120.238,120.22,120.231,124.05
16.12.2025 01:34:00.000 UTC,120.233,120.235,120.218,120.22,85.95
16.12.2025 01:35:00.000 UTC,120.22,120.221,120.186,120.19,149.55
16.12.2025 01:36:00.000 UTC,120.19,120.197,120.155,120.155,192.45
16.12.2025 01:37:00.000 UTC,120.153,120.16,120.132,120.139,370.2
16.12.2025 01:38:00.000 UTC,120.141,120.142,120.124,120.14,218.1
16.12.2025 01:39:00.000 UTC,120.138,120.139,120.079,120.108,425.7
16.12.2025 01:40:00.000 UTC,120.108,120.113,120.091,120.111,276
16.12.2025 01:41:00.000 UTC,120.108,120.126,120.108,120.123,139.5
16.12.2025 01:42:00.000 UTC,120.124,120.131,120.105,120.117,134.7
16.12.2025 01:43:00.000 UTC,120.115,120.125,120.103,120.117,211.05
16.12.2025 01:44:00.000 UTC,120.115,120.125,120.096,120.107,185.85
16.12.2025 01:45:00.000 UTC,120.106,120.124,120.1,120.1,245.25
16.12.2025 01:46:00.000 UTC,120.1,120.104,120.087,120.097,164.25
16.12.2025 01:47:00.000 UTC,120.097,120.097,120.076,120.078,124.05
16.12.2025 01:48:00.000 UTC,120.079,120.09,120.07,120.089,157.5
16.12.2025 01:49:00.000 UTC,120.092,120.104,120.083,120.097,72.15
16.12.2025 01:50:00.000 UTC,120.097,120.145,120.097,120.141,192.15
16.12.2025 01:51:00.000 UTC,120.141,120.141,120.095,120.109,223.65
16.12.2025 01:52:00.000 UTC,120.108,120.119,120.088,120.119,197.25
16.12.2025 01:53:00.000 UTC,120.118,120.139,120.117,120.131,126.75
16.12.2025 01:54:00.000 UTC,120.13,120.138,120.086,120.091,209.7
16.12.2025 01:55:00.000 UTC,120.091,120.091,120.06,120.065,217.05
16.12.2025 01:56:00.000 UTC,120.064,120.081,120.047,120.056,181.2
16.12.2025 01:57:00.000 UTC,120.056,120.068,120.054,120.061,166.2
16.12.2025 01:58:00.000 UTC,120.061,120.075,120.059,120.063,110.1
16.12.2025 01:59:00.000 UTC,120.062,120.067,120.047,120.054,116.4
16.12.2025 02:00:00.000 UTC,120.053,120.066,120.041,120.06,141.3
16.12.2025 02:01:00.000 UTC,120.061,120.063,120.043,120.062,102.45
16.12.2025 02:02:00.000 UTC,120.061,120.089,120.057,120.078,209.25
16.12.2025 02:03:00.000 UTC,120.078,120.088,120.059,120.069,189.9
16.12.2025 02:04:00.000 UTC,120.068,120.103,120.068,120.099,124.8
16.12.2025 02:05:00.000 UTC,120.098,120.103,120.07,120.071,146.85
16.12.2025 02:06:00.000 UTC,120.07,120.082,120.064,120.082,69.9
16.12.2025 02:07:00.000 UTC,120.084,120.089,120.066,120.07,89.4
16.12.2025 02:08:00.000 UTC,120.069,120.082,120.067,120.081,69.9
16.12.2025 02:09:00.000 UTC,120.082,120.082,120.047,120.047,137.7
16.12.2025 02:10:00.000 UTC,120.049,120.073,120.047,120.07,112.2
16.12.2025 02:11:00.000 UTC,120.07,120.086,120.064,120.081,64.5
16.12.2025 02:12:00.000 UTC,120.08,120.099,120.08,120.091,86.85
16.12.2025 02:13:00.000 UTC,120.091,120.093,120.077,120.078,57.75
16.12.2025 02:14:00.000 UTC,120.079,120.079,120.061,120.061,57
16.12.2025 02:15:00.000 UTC,120.062,120.077,120.059,120.062,112.8
16.12.2025 02:16:00.000 UTC,120.063,120.078,120.054,120.076,75
16.12.2025 02:17:00.000 UTC,120.076,120.081,120.075,120.079,54.75
16.12.2025 02:18:00.000 UTC,120.078,120.094,120.078,120.085,78.9
16.12.2025 02:19:00.000 UTC,120.085,120.098,120.076,120.098,150.3
16.12.2025 02:20:00.000 UTC,120.099,120.099,120.089,120.095,68.85
16.12.2025 02:21:00.000 UTC,120.095,120.101,120.086,120.089,94.05
16.12.2025 02:22:00.000 UTC,120.089,120.09,120.082,120.085,63
16.12.2025 02:23:00.000 UTC,120.086,120.086,120.065,120.067,100.2
16.12.2025 02:24:00.000 UTC,120.066,120.077,120.064,120.072,68.55
16.12.2025 02:25:00.000 UTC,120.074,120.081,120.07,120.072,41.7
16.12.2025 02:26:00.000 UTC,120.071,120.084,120.058,120.081,143.85
16.12.2025 02:27:00.000 UTC,120.081,120.085,120.058,120.068,110.55
16.12.2025 02:28:00.000 UTC,120.066,120.073,120.062,120.07,48.6
16.12.2025 02:29:00.000 UTC,120.07,120.072,120.064,120.07,52.65
16.12.2025 02:30:00.000 UTC,120.07,120.074,120.06,120.067,52.8
16.12.2025 02:31:00.000 UTC,120.065,120.066,120.035,120.036,139.95
16.12.2025 02:32:00.000 UTC,120.037,120.071,120.037,120.069,50.4
16.12.2025 02:33:00.000 UTC,120.07,120.07,120.065,120.065,22.95
16.12.2025 02:34:00.000 UTC,120.066,120.066,120.047,120.048,62.85
16.12.2025 02:35:00.000 UTC,120.047,120.048,120.01,120.01,89.25
16.12.2025 02:36:00.000 UTC,120.009,120.027,120.009,120.018,82.5
16.12.2025 02:37:00.000 UTC,120.015,120.015,119.996,120.006,72.45
16.12.2025 02:38:00.000 UTC,120.007,120.014,120.004,120.009,48.9
16.12.2025 02:39:00.000 UTC,120.008,120.012,119.994,120.004,49.8
16.12.2025 02:40:00.000 UTC,120.003,120.014,119.999,120.013,25.8
16.12.2025 02:41:00.000 UTC,120.015,120.029,120.015,120.026,50.1
16.12.2025 02:42:00.000 UTC,120.025,120.025,120.013,120.014,216.3
16.12.2025 02:43:00.000 UTC,120.013,120.024,120.002,120.021,168
16.12.2025 02:44:00.000 UTC,120.02,120.026,120.009,120.011,158.1
16.12.2025 02:45:00.000 UTC,120.012,120.019,120.005,120.018,46.35
16.12.2025 02:46:00.000 UTC,120.017,120.025,120.015,120.015,50.85
16.12.2025 02:47:00.000 UTC,120.015,120.015,119.999,120.004,156
16.12.2025 02:48:00.000 UTC,120.004,120.014,119.997,120.014,46.05
16.12.2025 02:49:00.000 UTC,120.012,120.013,119.993,120.001,36.75
16.12.2025 02:50:00.000 UTC,120,120.01,119.995,120.008,37.5
16.12.2025 02:51:00.000 UTC,120.005,120.011,120.002,120.011,29.4
16.12.2025 02:52:00.000 UTC,120.009,120.016,120.009,120.014,34.5
16.12.2025 02:53:00.000 UTC,120.016,120.016,119.984,119.984,172.05
16.12.2025 02:54:00.000 UTC,119.985,119.985,119.978,119.98,477.45
16.12.2025 02:55:00.000 UTC,119.979,119.982,119.979,119.982,387.45
16.12.2025 02:56:00.000 UTC,119.982,119.983,119.975,119.976,405
16.12.2025 02:57:00.000 UTC,119.977,119.978,119.958,119.973,749.1
16.12.2025 02:58:00.000 UTC,119.96,119.976,119.958,119.974,424.8
16.12.2025 02:59:00.000 UTC,119.973,119.978,119.96,119.978,377.1
16.12.2025 03:00:00.000 UTC,119.977,119.99,119.977,119.978,514.35
16.12.2025 03:01:00.000 UTC,119.977,119.977,119.955,119.97,220.65
16.12.2025 03:02:00.000 UTC,119.97,119.975,119.947,119.954,137.85
16.12.2025 03:03:00.000 UTC,119.953,119.964,119.952,119.958,62.25
16.12.2025 03:04:00.000 UTC,119.955,119.975,119.955,119.964,41.4
16.12.2025 03:05:00.000 UTC,119.963,119.97,119.956,119.969,70.95
16.12.2025 03:06:00.000 UTC,119.969,119.984,119.968,119.981,43.5
16.12.2025 03:07:00.000 UTC,119.98,119.98,119.952,119.955,124.65
16.12.2025 03:08:00.000 UTC,119.956,119.967,119.954,119.96,40.65
16.12.2025 03:09:00.000 UTC,119.963,119.971,119.961,119.966,117.15
16.12.2025 03:10:00.000 UTC,119.964,119.967,119.946,119.956,156.15
16.12.2025 03:11:00.000 UTC,119.956,119.957,119.942,119.945,87.3
16.12.2025 03:12:00.000 UTC,119.949,119.963,119.949,119.955,54.15
16.12.2025 03:13:00.000 UTC,119.956,119.958,119.952,119.953,49.05
16.12.2025 03:14:00.000 UTC,119.954,119.958,119.952,119.957,27.15
16.12.2025 03:15:00.000 UTC,119.958,119.958,119.948,119.954,46.35
16.12.2025 03:16:00.000 UTC,119.955,119.959,119.951,119.958,3
16.12.2025 03:17:00.000 UTC,119.959,119.975,119.959,119.975,63.15
16.12.2025 03:18:00.000 UTC,119.967,119.968,119.949,119.956,79.65
16.12.2025 03:19:00.000 UTC,119.956,119.973,119.955,119.971,37.8
16.12.2025 03:20:00.000 UTC,119.972,119.983,119.968,119.979,61.95
16.12.2025 03:21:00.000 UTC,119.98,119.99,119.976,119.981,50.85
16.12.2025 03:22:00.000 UTC,119.981,120.01,119.98,120.005,62.7
16.12.2025 03:23:00.000 UTC,120.002,120.002,119.992,119.997,74.4
16.12.2025 03:24:00.000 UTC,119.996,119.998,119.983,119.985,89.1
16.12.2025 03:25:00.000 UTC,119.984,119.988,119.979,119.987,41.85
16.12.2025 03:26:00.000 UTC,119.987,120.001,119.984,120,44.7
16.12.2025 03:27:00.000 UTC,120,120.005,119.998,120.002,42
16.12.2025 03:28:00.000 UTC,120.002,120.005,119.993,120,54
16.12.2025 03:29:00.000 UTC,120,120.012,119.997,120.01,38.4
16.12.2025 03:30:00.000 UTC,120.012,120.019,120.004,120.006,46.2
16.12.2025 03:31:00.000 UTC,120.007,120.011,119.995,120.001,115.8
16.12.2025 03:32:00.000 UTC,120,120,119.965,119.97,67.5
16.12.2025 03:33:00.000 UTC,119.971,119.971,119.949,119.958,116.1
16.12.2025 03:34:00.000 UTC,119.958,119.992,119.958,119.992,62.1
16.12.2025 03:35:00.000 UTC,119.991,119.991,119.97,119.982,85.95
16.12.2025 03:36:00.000 UTC,119.984,120.009,119.984,120.009,64.65
16.12.2025 03:37:00.000 UTC,120.009,120.011,120.002,120.004,56.4
16.12.2025 03:38:00.000 UTC,120.004,120.004,119.964,119.964,99.6
16.12.2025 03:39:00.000 UTC,119.965,119.965,119.95,119.959,44.55
16.12.2025 03:40:00.000 UTC,119.96,119.977,119.956,119.976,76.35
16.12.2025 03:41:00.000 UTC,119.976,119.985,119.975,119.975,22.35
16.12.2025 03:42:00.000 UTC,119.977,119.981,119.955,119.963,83.85
16.12.2025 03:43:00.000 UTC,119.963,119.977,119.963,119.974,48.9
16.12.2025 03:44:00.000 UTC,119.975,119.977,119.963,119.972,45.3
16.12.2025 03:45:00.000 UTC,119.973,119.975,119.964,119.972,36.75
16.12.2025 03:46:00.000 UTC,119.972,119.972,119.958,119.961,74.85
